coupling J= -1
external field h= 0
qubits , Esep=
2 , -0.9999999999999998
3 , -1.999999955715052
4 , -2.9999999967305375
5 , -3.9999916834400144
6 , -4.9999796818675915
7 , -5.999666374685826
8 , -6.999394729255098
9 , -7.9997361577726664
10 , -8.999962664210818
11 , -9.996931165197521
12 , -10.999655693089112
13 , -11.998386256866002
14 , -12.99670159157763
15 , -13.959796838868456
