coupling J= -1 external field h= 0
(qubits , ground state energy) nearest neighbor heisenberg hamiltonian interaction analytically solved using scipy
2 , -3.0000000000000004
3 , -4.0
4 , -6.46410161513775
5 , -7.711545013271989
6 , -9.974308535551762
7 , -11.344958722746657
8 , -13.499730394751657
9 , -14.945286825517366
10 , -17.032140829131688
11 , -18.528373209438517
12 , -20.56836253136234
13 , -22.101288388335004
14 , -24.106898647448908
15 , -25.667681967174797
